Published Date,Title,Views,Likes,Tags
2023-05-10T17:30:05Z,Leer LIBROS físicos vs Leer en iPad y Audiolibros,2125,178,"['libros digitales', 'booktube', 'libros', 'audio libro', 'ipad para leer', 'ipad para leer libros', 'ipad para leer libros electronicos', 'ipad mini para leer libros', 'scribd review', 'app libros', 'notion libros', 'soriano tech', 'plantilla notion', 'libros digitales vs libros fisicos', 'ventajas y desventajas de libros digitales', 'plantilla notion libros', 'plantilla notion gratis']"
2023-05-05T17:00:03Z,Apps para Mac que mejorarán tu productividad,4459,298,"['top 5 apps para mac', 'mejores apps para mac', 'top 5 apps de productividad', 'mac apps', 'consejos para tu mac', 'productividad mac', 'macos apps para productividad', 'mac apps productividad', 'apps de productividad', 'iBoysoft magicmenu', 'notion', 'setapp', 'productividad', 'apps', 'soriano tech', 'como ser mas productivo']"
2023-05-01T17:00:06Z,Notion en Español y consejos para principiantes,11489,590,"['como usar notion en español', 'notion', 'cómo poner notion en español y tomar notas en él', 'notion en español', 'notion en español 2023', 'notion tutorial', 'notion para principiantes', 'notion consejos', 'notions consejos para principiantes', 'notion ideas', 'notion ideas principiantes', 'notion español', 'app notion', 'notion español tutorial', 'cómo usar notion', 'soriano tech', 'notion productividad']"
2023-04-13T17:03:43Z,Nintendo Switch: 10 Trucos que tienes que conocer,4722,346,"['nintendo switch', 'trucos nintendo switch', 'nintendo switch lite', 'trucos para nintendo switch', 'secretos nintendo switch', 'trucos', 'switch', 'secretos', 'nintendo switch español', 'curiosidades nintendo switch', 'nintendo switch consejos', '10 trucos nintendo switch', 'nintendo switch curiosidades', 'soriano tech', 'nintendo', 'nintendo switch secretos']"
2023-04-09T18:00:12Z,Mi teclado mecánico FAVORITO para Mac 🥇,3249,159,"['nuphy', 'nuphy keyboard', 'mechanical keyboard', 'teclado', 'teclados', 'top teclados', 'teclado mecánico', 'teclados mecánicos', 'teclado mecánico para mac', 'mejor teclado', 'mejores teclados', 'nuphy air 96', 'soriano tech', 'soriano tech teclado']"
2023-04-06T17:30:00Z,Cómo organizar tus NOTAS 📝 en Notion,7246,333,"['notion', 'notion app', 'como usar notion', 'como empezar notion', 'como usar notion para estudiantes', 'como tomar notas en notion', 'notas digitales', 'notion estudiantes', 'notion universidad', 'notion notas', 'app de productividad', 'como utilizar notion', 'tutorial de notion', 'notion español', 'notion estudios', 'tomar notas con notion', 'organizar tus notas', 'organizar notas en notion', 'notion productividad', 'tecnología', 'soriano tech', 'notion en español', 'notion tutorial', 'notion gratis']"
2023-04-03T17:30:08Z,Qué tengo en mi escritorio techie? | Accesorios y gadgets 2023,9282,572,"['escritoriotour', 'escritorio tour', 'qué tengo en mi escritorio', 'accesorios tecnologicos', 'gadgets', 'escritorio tech', 'escritorio', 'escritorio youtube', 'mesa tech', 'organizar escritorio', 'escritorio techie', 'macbook pro set up', 'ipad set up', 'escritorio accesorios', 'desk set up', 'soriano tech', 'tecnología', 'aesthetic escritorio', 'aesthetic', 'accesorios benks', 'ipad stand', 'base de carga inalambrica iphone', 'base de carga iphone', 'benks magclap', 'benks iphone', 'escritorio productividad', 'escritorio gamer']"
2023-03-30T17:30:10Z,Notion a otro nivel 🚀 BOTONES para AUTOMATIZAR TAREAS,11009,386,"['notion', 'notion tutorial', 'notion tutorial español', 'notion app', 'notion primeros pasos', 'notion como usar', 'notion como funciona', 'notion como organizar', 'organizarse con notion', 'notion para Mac', 'notion para que sirve', 'notion vs evernote', 'notion ideas', 'notion para estudiantes', 'notion para empresas', 'notion para profesores', 'notion paginas', 'plantillas de notion', 'soriano tech', 'productividad', 'notion organización', 'botones notion', 'notion botones', 'notion automatizar tareas']"
2023-03-23T19:58:02Z,Nintendo Switch Lite en 2023 | Vale la pena? ❌,37808,1116,"['nintendo switch', 'nintedo switch 2023', 'nintendo switch lite', 'nintendo switch lite 2023', 'nintendo switch oled', 'vale la pena nintendo switch lite', 'vale la pena nintendo switch lite 2023', 'vale la pena nintendo switch', 'nintendo switch vs lite', 'nintendo', 'nintendo switch 2023', 'soriano tech', 'consola nintendo', 'nintendo juegos', 'juegos nintendo switch lite', 'juegos nintendo switch', 'juegos nintendo switch 2023', '2023 nintendo', 'nintendo switch pro']"
2023-03-20T18:38:48Z,Cómo mejorar la productividad en el Mac,5141,332,"['productividad', 'productividad en el Mac', 'mejorar la productividad', 'productividad en mac', 'atajos de teclado', 'atajos de teclado en mac', 'gestos en mac', 'gestos trackpad', 'mac para el trabajos', 'macbook pro', 'mac apple', 'trucos de productividad para mac', 'trucos de productividad en el mac', 'ideas de productividad', 'tecnología', 'soriano tech', 'macbook productividad', 'cómo crear escritorios en mac', 'múltiples escritorios en mac', 'escritorios mac', 'cómo usar el mac', 'cómo usar macbook']"
2023-03-15T20:58:54Z,iPhone 14 AMARILLO | Unboxing y primeras impresiones,9998,471,"['iphone 14', 'iphone 14 amarillo yellow', 'iphone 14 yellow', 'iphone 14 amarillo', 'iphone 14 plus', 'iphone 14 apple', 'iphone apple', 'nuevo iphone', 'nuevo iphone apple', 'iphone 14 plus unboxing', 'iphone 14 vs 14 plus', 'iphone plus', 'soriano tech', 'apple', 'iphone colores', 'qué iphone comprar en 2023', 'iphone 2023', 'colores iphone', 'iphone 14 vs 14 pro', 'iphone', 'iphone 14 pro', 'iphone plus vs iphone 14']"
2023-03-12T20:34:51Z,Productividad al MÁXIMO en tu iPad 🚀,15438,680,"['ipad productividad', 'productividad ipad', 'ipad trucos', 'ipad air', 'ipad pro', 'ipad mini', 'ipad apple', 'ipad os', 'ipad lapiz', 'ipad y apple pencil', 'trucos para ipad', 'multitarea ipad', 'apple pencil ipad', 'notas ipad', 'ipad', 'apple', 'tecnología', 'trabajar con el ipad', 'estudiar con el ipad', 'ipad air 5', 'soriano tech', 'freeform ipad']"
2023-03-11T18:00:05Z,Unboxing NuPhy Air96 - Qué DELICIA de teclado mecánico! 😍,1679,69,"['asmr unboxing', 'unboxing nuphy air96', 'nuphy air96', 'nuphy air', 'nuphy air 96', 'teclado mecánico', 'teclado mecánico gaming', 'teclado mecánico para mac', 'nuphy teclado para mac', 'nuphy teclado', 'nuphy air unboxing', 'mejor teclado mecánico', 'teclado mecánico inalámbrico', 'teclado gamer', 'soriano tech', 'nuphy', 'mechanical keyboard', 'mechanical keyboard unboxing', 'aesthetic unboxing']"
2023-03-10T19:30:42Z,Cómo añadir WIDGETS y PERSONALIZAR TU NOTION (Parte 1),7844,355,"['notion widgets', 'como añadir widgets en notion', 'como poner widgets en notion', 'añadir widgets en notion', 'poner widgets en notion', 'mejores widgets para notion', 'cómo personalizar notion', 'cómo personalizar tu notion', 'notion tutorial', 'notion cómo personalizar ideas', 'notion ideas', 'los mejores widgets para notion', 'widgets para notion', 'widgets en notion', 'personalizar notion', 'tutorial notion principiantes', 'soriano tech', 'notion', 'notion app', 'notion tutorial español', 'notion español']"
2023-03-09T19:00:16Z,Un vistazo a mi día a día como YouTuber,1221,88,"['youtuber español', 'youtube españa', 'empezar en youtube', 'youtube inspiración', 'rutina como youtuber', 'cómo edito mis vídeos de youtube', 'youtube', 'vloger español', 'soriano tech', 'tecnología']"
2023-03-08T18:30:46Z,PS5 Unboxing y primeras impresiones. Mi experiencia alquilando con Grover,3636,240,"['ps5 unboxing', 'ps5', 'alquiler ps5', 'ps5 primeras impresiones', 'play 5 unboxing', 'play 5 fornite', 'play 5', 'ps5 unboxing español', 'ps5 juegos', 'grover', 'grover alquiler', 'grover alquiler opiniones', 'ps5 digital vs disc', 'ps5 digital', 'ps5 españa', 'ps5 en stock', 'ps5 hogwarts legacy', 'ps5 español', 'soriano tech', 'playstation 5', 'playstation 5 unboxing', 'ps5 unboxing and setup']"
2023-03-02T18:30:42Z,Cómo hacer ESQUEMAS en el iPad?,5406,311,"['esquemas en el iPad', 'cómo hacer esquemas', 'cómo hacer esquemas iPad', 'iPad tomar notas', 'iPad Apple pencil', 'app miro', 'app miro tutorial', 'cómo tomar notas en el iPad', 'tomar notas iPad', 'notas iPad', 'esquemas iPad', 'Apple Pencil iPad', 'Apple pencil notas', 'ipad apple', 'ipad pro', 'ipad air', 'ipad mini', 'soriano tech']"
2023-02-27T17:00:32Z,DualSense: Mando PS5 PRIMERAS IMPRESIONES 👀,6312,252,"['dualsense mando', 'mando dualsense', 'dualsense', 'dualsense ps5', 'ps5', 'play station 5 mando', 'play station 5', 'ps5 mando pro']"
2023-02-16T18:30:37Z,Apple HomePod 2: Review en español,5279,353,"['homepod 2', 'homepod 2 review', 'homepod 2023', 'homepod apple', 'apple homepod', 'apple homepod 2', 'homepod review 2023', 'homepod en español', 'homepod review español', 'homepod', 'homepod 1 vs 2', 'homepod 2a generación', 'qué es el homepod', 'para qué sirve homepod', 'homepod mini apple', 'homepod vale la pena', 'soriano tech', 'homepod siri', 'homepod controles']"
2023-02-14T18:30:43Z,Cómo organizo mi día a día con Notion,22996,909,"['notion', 'notion setup 2023', 'notion setup', 'notion setup tour', 'notion tour', 'notion app español', 'qué es notion', 'cómo usar notion', 'tutorial notion', 'notion tutorial', 'notion para principiantes', 'notion app', 'notion para estudiantes', 'notion organización', 'notion para trabajo', 'notion para youtube', 'notion ideas', 'notion trucos', 'soriano tech', 'soriano tech notion', 'notion hábitos', 'notion tareas', 'notion to do list', 'notion set up', 'notion tour set up', 'notion calendario', 'hábitos y rutinas']"
2023-02-10T18:30:49Z,Vuelvo a Windows con el Surface Pro 8,6211,360,"['surface pro 8', 'surface pro', 'surface pro microsoft', 'surface pro 8 análisis', 'microsoft surface', 'microsoft computadora', 'computadora microsoft', 'microsoft ordenador', 'windows vs mac', 'surface pro 9', 'microsoft surface pro 8', 'microsoft surface pro', 'microsoft surface laptop', 'tecnología', 'microsoft', 'soriano tech']"
2023-02-08T18:30:05Z,Apple Watch Ultra: VALE LA PENA O NO? 🥵,9373,453,"['apple watch ultra', 'apple watch', 'apple watch espa', 'apple watch ultra vs series 8', 'apple watch ultra vale la pena', 'apple watch ultra analisis', 'apple watch ultra bateria', 'apple watch ultra esferas', 'apple watch ultra gps', 'apple watch ultra naranja', 'apple', 'tecnología', 'soriano tech']"
